"code","d18O","d2H","source","amnt","date_time"
"RAIN 170607 0000",-2.94886,-12.159,"Rain",12,2017-06-07 00:00:00
"RAIN 170607 0200",-4.57041,-23.072,"Rain",6,2017-06-07 02:00:00
"RAIN 170607 0400",-3.1014,-12.5935,"Rain",0.5,2017-06-07 04:00:00
"RAIN 170607 0600",-5.87051,-25.2482,"Rain",1,2017-06-07 06:00:00
"RAIN 170607 0800",-5.74924,-18.4454,"Rain",3,2017-06-07 08:00:00
"RAIN 170607 0900",-6.19315,-23.3834,"Rain",1,2017-06-07 09:00:00
"RAIN 170607 1000",-6.76155,-29.083,"Rain",2,2017-06-07 10:00:00
"RAIN 170607 1100",-3.94883,-8.60302,"Rain",1,2017-06-07 11:00:00
"RAIN 170607 1400",-5.15019,-20.7562,"Rain",2.5,2017-06-07 14:00:00
"RAIN 170607 1500",-7.75493,-38.2058,"Rain",1.75,2017-06-07 15:00:00
"RAIN 170607 1700",-5.56424,-24.4532,"Rain",1.5,2017-06-07 17:00:00
"RAIN 170607 1900",-5.72221,-27.7188,"Rain",4.8,2017-06-07 19:00:00
"RAIN 170607 2010",-7.70898,-40.0601,"Rain",4.2,2017-06-07 20:10:00
"RAIN 170607 2130",-6.11287,-28.4858,"Rain",3,2017-06-07 21:30:00
"RAIN 170608 0600",-3.3365,-6.47728,"Rain",5,2017-06-08 06:00:00
"RAIN 170608 0800",-3.56032,-7.88228,"Rain",3.8,2017-06-08 08:00:00
"LRD 170606 1338",-2.3005,-6.37587,"River",60.74,2017-06-06 13:38:00
"LRD 170606 2000",-2.11795,-5.81991,"River",19.24,2017-06-06 20:00:00
"LRD 170606 2200",-2.02104,-5.34153,"River",17.51,2017-06-06 22:00:00
"LRD 170607 0000",-2.97967,-12.3274,"River",6660.86,2017-06-07 00:00:00
"LRD 170607 0200",-3.89217,-20.3918,"River",1931.02,2017-06-07 02:00:00
"LRD 170607 0400",-3.55953,-18.1426,"River",707.88,2017-06-07 04:00:00
"LRD 170607 0600",-3.35219,-16.6555,"River",637.68,2017-06-07 06:00:00
"LRD 170607 0800",-5.34839,-22.2716,"River",1373.22,2017-06-07 08:00:00
"LRD 170607 0900",-5.28729,-19.7544,"River",869.96,2017-06-07 09:00:00
"LRD 170607 1000",-5.52998,-21.3504,"River",710.16,2017-06-07 10:00:00
"LRD 170607 1100",-5.45714,-21.6071,"River",613.5,2017-06-07 11:00:00
"LRD 170607 1200",-5.62788,-22.2847,"River",669.27,2017-06-07 12:00:00
"LRD 170607 1300",-5.53251,-22.5371,"River",1084.93,2017-06-07 13:00:00
"LRD 170607 1400",-5.89762,-24.295,"River",2208.6,2017-06-07 14:00:00
"LRD 170607 1500",-6.29476,-26.9474,"River",619.96,2017-06-07 15:00:00
"LRD 170607 1700",-5.92398,-24.4555,"River",278.8,2017-06-07 17:00:00
"LRD 170607 1900",-5.35545,-24.2602,"River",3262.11,2017-06-07 19:00:00
"LRD 170607 2010",-6.0615,-27.9623,"River",3759.78,2017-06-07 20:10:00
"LRD 170607 2130",-5.94141,-27.4267,"River",2884.23,2017-06-07 21:30:00
"LRD 170607 2300",-5.95526,-28.3683,"River",888.06,2017-06-07 23:00:00
"LRD 170608 0600",-4.03521,-12.3835,"River",705.85,2017-06-08 06:00:00
"LRD 170608 0800",-3.72156,-7.61207,"River",780.77,2017-06-08 08:00:00
"LRD 170608 0958",-3.59669,-6.38939,"River",341.72,2017-06-08 09:58:00
"LRD 170608 1201",-3.42181,-6.23238,"River",339,2017-06-08 12:01:00
"LRD 170608 1400",-3.32494,-6.52117,"River",258.32,2017-06-08 14:00:00
"LRD 170608 1800",-3.24332,-8.75975,"River",68.01,2017-06-08 18:00:00
